##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;Err:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, 'ｧ' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;ｧA = 0,64,0;;;;;;;;;;X
##;ｧB = 0,0,192;;;;;;;;;;X
##;ｧC = 128,0,0;;;;;;;;;;X
##;ｧD = 255,255,0;;;;;;;;;;X
##;ｧE = 255,0,255;;;;;;;;;;X
##;ｧF = 255,128,0;;;;;;;;;;X
##;ｧG = 0,100,0;;;;;;;;;;X
##;ｧH = 128,128, 128;;;;;;;;;;X
##;ｧI = 0,0,255;;;;;;;;;;X
##;ｧJ = 0,192,0;;;;;;;;;;X
##;ｧM = 100,255,100;;;;;;;;;;X
##;ｧN = 255,100,100;;;;;;;;;;X
##;ｧR = 240,0,0;;;;;;;;;;X
##;ｧW = 255,255,255;;;;;;;;;;X
##;ｧY = 208,232,248;;;;;;;;;;X
##;ｧZ = 0,0,0;;;;;;;;;;X
##;ｧｧ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
ALLIANCE_ENTENTE;協商国;T. Entente;;;;;;;;;X
ALLIANCE_CENTRAL;中央同盟国;C. Powers;;;;;;;;;X
ALLIANCE_COM1914;共産国;Comintern;;;;;;;;;X
ALLIANCE_WHITES;白衛軍;White Movement;;;;;;;;;X
ALLIANCE_BOLSHEVIKS;赤衛軍;Bolsheviks;;;;;;;;;X
ALLIANCE_EMPTY;;;;;;;;;;;X
GAME_END_ENTENTE_VICTORY;ゲームは三国協商陣営の勝利で終了した。;The game ended in a victory of the Triple Entente.;;;;;;;;;X
GAME_END_ENTENTE_TOTAL;ゲームは最終的に三国協商陣営の勝利で終了した。;The game ended in a total victory of the Triple Entente.;;;;;;;;;X
GAME_END_CENTRAL_VICTORY;ゲームは中央同盟諸国陣営の勝利で終了した。;The game ended in a victory of the Central Powers.;;;;;;;;;X
GAME_END_CENTRAL_TOTAL;ゲームは最終的に中央同盟諸国陣営の勝利で終了した。;The game ended in a total victory of the Central Powers.;;;;;;;;;X
GAME_END_COM1914_VICTORY;ゲームは共産諸国陣営の勝利で終了した。;The game ended in a victory of the Comintern.;;;;;;;;;X
GAME_END_COM1914_TOTAL;ゲームは最終的に共産諸国陣営の勝利で終了した。;The game ended in a total victory of the Comintern.;;;;;;;;;X
GAME_END_WHITES_VICTORY;ゲームは白衛軍陣営の勝利で終了した。;The game ended in a victory of the White Movement.;;;;;;;;;X
GAME_END_WHITES_TOTAL;ゲームは最終的に白衛軍陣営の勝利で終了した。;The game ended in a total victory of the White Movement.;;;;;;;;;X
GAME_END_BOLSHEVIKS_VICTORY;ゲームは赤衛軍陣営の勝利で終了した。;The game ended in a victory of the Bolsheviks.;;;;;;;;;X
GAME_END_BOLSHEVIKS_TOTAL;ゲームは最終的に赤衛軍陣営の勝利で終了した。;The game ended in a total victory of the Bolsheviks.;;;;;;;;;X
##;;;;;;;;;;;X
PROV_PETROGRAD;ペトログラード〔ロシア〕;Petrograd;;;;;;;;;X
PROV_TSARITSYN;ツァリーツィン;Tsaritsyn;;;;;;;;;X
PROV_POKROVSK;ポクロフスク;Pokrovsk;;;;;;;;;X
##;;;;;;;;;;;X
SPA14;スペイン王国;Spain;;;;;;;;;X
LBY14;サヌーシー教団;Senussi;;;;;;;;;X
SAU14;ネジド王国;Kingdom of Najd;;;;;;;;;X
PER14;ペルシア;Persia;;;;;;;;;X
SER1919;セルビア人・クロアチア人・スロベニア人王国;Kingdom of Serbs, Croats and Slovenes;;;;;;;;;X
UTC_SOUTHERN_RUSSIA;南ロシア臨時政府;Southern Russia;;;;;;;;;X
UGS_NORTHERN_RUSSIA;北ロシア臨時政府;Northern Russia;;;;;;;;;X
##;;;;;;;;;;;X
## Minister Personalities;;;;;;;;;;;X
##;;;;;;;;;;;X
NPERSONALITY_NONE;なし;none;;;;;;;;;X
NPERSONALITY_BIASED_INTELLECTUAL;偏見を持った知識人;Biased Intellectual;;;;;;;;;X
NPERSONALITY_IDEOLOGICAL_CRUSADER;イデオロギーの闘士;Ideological Crusader;;;;;;;;;X
NPERSONALITY_APOLOGETIC_CLERK;小心な官吏;Apologetic Clerk;;;;;;;;;X
NPERSONALITY_IRON_FISTED_BRUTE;冷酷非道;Iron-fisted Brute;;;;;;;;;X
NPERSONALITY_GREAT_COMPROMISER;調停の達人;Great Compromiser;;;;;;;;;X
NPERSONALITY_GENERAL_STAFFER;参謀タイプ;General Staffer;;;;;;;;;X
NPERSONALITY_THE_CLOAK_N_DAGGER_SCHEMER;謀略家;The Cloak-and-Dagger Schemer;;;;;;;;;X
NPERSONALITY_ADMINISTRATIVE_GENIUS;天才的実務家;Administrative Genius;;;;;;;;;X
NPERSONALITY_RESOURCE_INDUSTRIALIST;鉱山企業家タイプ;Resource Industrialist;;;;;;;;;X
NPERSONALITY_LAISSEZ_FAIRES_CAPITALIST;自由放任主義者;Laissez-Faire Capitalist;;;;;;;;;X
